listing_title,listing_category,short_description,description,website,phone,fax,email,listing_tags,address,zip_code,username,sequence_id
Dr. Patrick James Villeneuve,Specialists;Cardiac & Thoracic Surgery;General Surgery,"Cardiac & Thoracic Surgery · Thoracic Surgery · Room 6362, The Ottawa Hospital General Campus, 501 Smyth Road, Ottawa, K1H 8L6","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Thoracic Surgery
Location: Room 6362, The Ottawa Hospital General Campus, 501 Smyth Road, Ottawa, K1H 8L6
Phone: (613) 737-8845
Fax: (613) 737-8668
Languages: En, Fr",,(613) 737-8845,(613) 737-8668,,"Cardiac & Thoracic Surgery;Thoracic Surgery;En, Fr;General Surgery","Room 6362, The Ottawa Hospital General Campus, 501 Smyth Road, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-9d7d608ccf53005b
Dr. Pierre Voisine,Specialists;Cardiac & Thoracic Surgery,"Cardiac & Thoracic Surgery · Cardiac Surgery · 40 Ruskin Street, The University of Ottawa Heart Institute, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiac Surgery
Location: 40 Ruskin Street, The University of Ottawa Heart Institute, Ottawa, K1Y 4W7
Phone: (613) 696-7090
Languages: En, Fr",,(613) 696-7090,,,"Cardiac & Thoracic Surgery;Cardiac Surgery;En, Fr","40 Ruskin Street, The University of Ottawa Heart Institute, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-58c22ef25197c56d
Dr. Ramanadhan Sudhir Sundaresan,Specialists;Cardiac & Thoracic Surgery;General Surgery,"Cardiac & Thoracic Surgery · Thoracic Surgery · Suite M1859, 501 Smyth Road, Ottawa, K1H 8L6","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Thoracic Surgery
Location: Suite M1859, 501 Smyth Road, Ottawa, K1H 8L6
Phone: (613) 737-8899
Languages: En, Fr",,(613) 737-8899,,,"Cardiac & Thoracic Surgery;Thoracic Surgery;En, Fr;General Surgery","Suite M1859, 501 Smyth Road, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-22d3be5ec2971a39
Dr. Roy George Masters,Specialists;Cardiac & Thoracic Surgery,"Cardiac & Thoracic Surgery · Cardiovascular/Thoracic · The University of Ottawa, Heart Institute, 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiovascular/Thoracic
Location: The University of Ottawa, Heart Institute, 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7300
Fax: (613) 696-7301
Languages: Fr, En",,(613) 696-7300,(613) 696-7301,,"Cardiac & Thoracic Surgery;Cardiovascular/Thoracic;Fr, En","The University of Ottawa, Heart Institute, 40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-906ce1b7e19076d0
Dr. Sebastien Gilbert,Specialists;Cardiac & Thoracic Surgery;General Surgery,"Cardiac & Thoracic Surgery · Thoracic Surgery · The Ottawa Hospital, Division of Thoracic Surgery, Suite 6363, Ottawa, K1H 8L6","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Thoracic Surgery
Location: The Ottawa Hospital, Division of Thoracic Surgery, Suite 6363, Ottawa, K1H 8L6
Phone: (613) 737-8899
Fax: (613) 737-8668
Languages: En, Fr",,(613) 737-8899,(613) 737-8668,,"Cardiac & Thoracic Surgery;Thoracic Surgery;En, Fr;General Surgery","The Ottawa Hospital, Division of Thoracic Surgery, Suite 6363, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-720e0715dec2cb91
Dr. Simon Saito,Specialists;Cardiac & Thoracic Surgery;General Surgery,"Cardiac & Thoracic Surgery · Cardiac Surgery · Department of Cardiac Surgery, Ottawa Heart Institute, 40 Ruskin Avenue, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiac Surgery
Location: Department of Cardiac Surgery, Ottawa Heart Institute, 40 Ruskin Avenue, Ottawa, K1Y 4W7
Phone: (613) 696-7000
Languages: En, Fr",,(613) 696-7000,,,"Cardiac & Thoracic Surgery;Cardiac Surgery;En, Fr;General Surgery","Department of Cardiac Surgery, Ottawa Heart Institute, 40 Ruskin Avenue, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-f1bdae5bcf161d2a
Dr. Talal Al-Atassi,Specialists;Cardiac & Thoracic Surgery,"Cardiac & Thoracic Surgery · Cardiac Surgery · University of Ottawa Heart Institut, 40 Ruskin Street, Suite H3404-B, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiac Surgery
Location: University of Ottawa Heart Institut, 40 Ruskin Street, Suite H3404-B, Ottawa, K1Y 4W7
Phone: (613) 696-7293
Fax: (613) 696-7118
Languages: En, Arabic, Fr",,(613) 696-7293,(613) 696-7118,,"Cardiac & Thoracic Surgery;Cardiac Surgery;En, Arabic, Fr","University of Ottawa Heart Institut, 40 Ruskin Street, Suite H3404-B, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-37592e5de9667687
Dr. Vincent Chan,Specialists;Cardiac & Thoracic Surgery,"Cardiac & Thoracic Surgery · Cardiac Surgery · University of Ottawa Heart Institut, Room 3405A, 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiac Surgery
Location: University of Ottawa Heart Institut, Room 3405A, 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7294
Fax: (613) 696-7302
Languages: En",,(613) 696-7294,(613) 696-7302,,Cardiac & Thoracic Surgery;Cardiac Surgery;En,"University of Ottawa Heart Institut, Room 3405A, 40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-2a172fa33616a8b9
Dr. Alexander James Dick,Specialists;Cardiology,"Cardiology · Ottawa Heart Institute — Division Of Cardiology, Room H 3408A, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: Ottawa Heart Institute — Division Of Cardiology, Room H 3408A, Ottawa, K1Y 4W7
Phone: (613) 696-7332
Fax: (613) 696-7128
Languages: En",,(613) 696-7332,(613) 696-7128,,Cardiology;En,"Ottawa Heart Institute — Division Of Cardiology, Room H 3408A, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-7aba7801151c0bda
Dr. Andrew John Mulloy,Specialists;Cardiology,"Cardiology · 40 Ruskin St, University of Ottawa Heart Institute, Division of Cardiology, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: 40 Ruskin St, University of Ottawa Heart Institute, Division of Cardiology, Ottawa, K1Y 4W7
Phone: (613) 696-7268
Fax: (613) 696-7248
Languages: En, Fr",,(613) 696-7268,(613) 696-7248,,"Cardiology;En, Fr","40 Ruskin St, University of Ottawa Heart Institute, Division of Cardiology, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-a873414187d85fcc
Dr. Angeline Law,Specialists;Cardiology,"Cardiology · The Ottawa Hospital - General Campus — Division of Cardiology, Room W1683, Ottawa, K1H 8L6","Specialty: Cardiology
Location: The Ottawa Hospital - General Campus — Division of Cardiology, Room W1683, Ottawa, K1H 8L6
Phone: (613) 737-8859
Fax: (613) 739-6727
Languages: En, Fr",,(613) 737-8859,(613) 739-6727,,"Cardiology;En, Fr","The Ottawa Hospital - General Campus — Division of Cardiology, Room W1683, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-ff59d0bdf6f47df7
Dr. Benjamin Joe Wade Chow,Specialists;Cardiology,"Cardiology · Ottawa Heart Institute — 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: Ottawa Heart Institute — 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7286
Fax: (613) 696-7248
Languages: En",,(613) 696-7286,(613) 696-7248,,Cardiology;En,"Ottawa Heart Institute — 40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-8e5a6c5919839cbc
Dr. Caroline Maria McGuinty,Specialists;Cardiology,"Cardiology · Ottawa Heart Institute — 40 Ruskin Street, Office H3238, Ottawa, K1Y4W7","Specialty: Cardiology
Location: Ottawa Heart Institute — 40 Ruskin Street, Office H3238, Ottawa, K1Y4W7
Phone: (613) 696-7321
Languages: En, Fr",,(613) 696-7321,,,"Cardiology;En, Fr","Ottawa Heart Institute — 40 Ruskin Street, Office H3238, Ottawa, K1Y4W7",K1Y,Sana,opc-specialist-36141f2c00e94a8a
Dr. Christopher Andrew Glover,Specialists;Cardiology,"Cardiology · Ottawa Heart Institute — Suite 3406, 40 Ruskin Avenue, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: Ottawa Heart Institute — Suite 3406, 40 Ruskin Avenue, Ottawa, K1Y 4W7
Phone: (613) 696-7329
Fax: (613) 696-7126
Languages: En",,(613) 696-7329,(613) 696-7126,,Cardiology;En,"Ottawa Heart Institute — Suite 3406, 40 Ruskin Avenue, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-6397bf510afe4909
Dr. Christopher Benjamin Johnson,Specialists;Cardiology,"Cardiology · The Ottawa Hospital - General campus — Department of Medicine, Division of Cardiology, Ottawa, K1H 8L6","Specialty: Cardiology
Location: The Ottawa Hospital - General campus — Department of Medicine, Division of Cardiology, Ottawa, K1H 8L6
Phone: (613) 737-8582
Fax: (613) 737-8918
Languages: En, Fr",,(613) 737-8582,(613) 737-8918,,"Cardiology;En, Fr","The Ottawa Hospital - General campus — Department of Medicine, Division of Cardiology, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-8a935d43db705e84
Dr. Darryl Raymond Davis,Specialists;Cardiology,"Cardiology · Ottawa Heart Institute — University of Ottawa, Heart Institute, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: Ottawa Heart Institute — University of Ottawa, Heart Institute, Ottawa, K1Y 4W7
Phone: (613) 696-7000
Languages: En, Fr",,(613) 696-7000,,,"Cardiology;En, Fr","Ottawa Heart Institute — University of Ottawa, Heart Institute, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-979ffd9bbc4a648d
Dr. David Ian Paterson,Specialists;Cardiology,"Cardiology · Ottawa Heart Institute — 40 Ruskin St, Cardiology, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: Ottawa Heart Institute — 40 Ruskin St, Cardiology, Ottawa, K1Y 4W7
Phone: (613) 696-7267
Fax: (613) 696-7248
Languages: En, Fr",,(613) 696-7267,(613) 696-7248,,"Cardiology;En, Fr","Ottawa Heart Institute — 40 Ruskin St, Cardiology, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-da563cb32a50ba5f
Dr. Derek Yiu Fai So,Specialists;Cardiology,"Cardiology · Ottawa Heart Institute — Division of Cardiology, 40 Ruskin St, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: Ottawa Heart Institute — Division of Cardiology, 40 Ruskin St, Ottawa, K1Y 4W7
Phone: (613) 696-7332
Fax: (613) 696-7128
Languages: En, Yue Chinese",,(613) 696-7332,(613) 696-7128,,"Cardiology;En, Yue Chinese","Ottawa Heart Institute — Division of Cardiology, 40 Ruskin St, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-d908186116f0679d
Dr. Duncan John Stewart,Specialists;Cardiology,"Cardiology · Ottawa Heart Institute — 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: Ottawa Heart Institute — 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7000
Fax: (613) 696-7216
Languages: En, German, Fr",,(613) 696-7000,(613) 696-7216,,"Cardiology;En, German, Fr","Ottawa Heart Institute — 40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-4091b2f676d65576
Dr. Elizabeth Karen Chan,Specialists;Cardiology,"Cardiology · 501 Smyth Rd, The Ottawa Hospital General Campus, Division of Cardiology, Ottawa, K1H 8L6","Specialty: Cardiology
Location: 501 Smyth Rd, The Ottawa Hospital General Campus, Division of Cardiology, Ottawa, K1H 8L6
Phone: (613) 737-8582
Fax: (613) 739-6727
Languages: En, Fr",,(613) 737-8582,(613) 739-6727,,"Cardiology;En, Fr","501 Smyth Rd, The Ottawa Hospital General Campus, Division of Cardiology, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-749031c325a2726a
Dr. Ellamae Stadnick,Specialists;Cardiology,"Cardiology · University of Ottawa, Heart Institute, Room H1295, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: University of Ottawa, Heart Institute, Room H1295, Ottawa, K1Y 4W7
Phone: (613) 696-7327
Fax: (613) 696-7359
Languages: En",,(613) 696-7327,(613) 696-7359,,Cardiology;En,"University of Ottawa, Heart Institute, Room H1295, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-9ca6bdcfbcb38e8d
Dr. Francisco Daniel Ramirez,Specialists;Cardiology,"Cardiology · 40 Ruskin St, University of Ottawa Heart Institute, Division of Cardiology, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: 40 Ruskin St, University of Ottawa Heart Institute, Division of Cardiology, Ottawa, K1Y 4W7
Phone: (613) 696-7402
Fax: (613) 696-7123
Languages: En, Fr, Spanish",,(613) 696-7402,(613) 696-7123,,"Cardiology;En, Fr, Spanish","40 Ruskin St, University of Ottawa Heart Institute, Division of Cardiology, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-22fcc2e3c1cc7636
Dr. Girish Madhavan Nair,Specialists;Cardiology,"Cardiology · University of Ottawa Heart, Institute, Room H 1285 B, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: University of Ottawa Heart, Institute, Room H 1285 B, Ottawa, K1Y 4W7
Phone: (613) 696-7272
Fax: (613) 696-7123
Languages: En, Malayalam, Urdu, Hindi, Tamil",,(613) 696-7272,(613) 696-7123,,"Cardiology;En, Malayalam, Urdu, Hindi, Tamil","University of Ottawa Heart, Institute, Room H 1285 B, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-44e0d1d53d4a3907
Dr. Graeme Prosperi-Porta,Specialists;Cardiology,"Cardiology · University of Ottawa Heart Institut, Division of Cardiology, 40 Ruskin Ave, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: University of Ottawa Heart Institut, Division of Cardiology, 40 Ruskin Ave, Ottawa, K1Y 4W7
Phone: (613) 696-7000
Languages: En",,(613) 696-7000,,,Cardiology;En,"University of Ottawa Heart Institut, Division of Cardiology, 40 Ruskin Ave, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-8ef196e11e4ec4af
Dr. Habibat Aziz Garuba,Specialists;Cardiology,"Cardiology · The Ottawa Hospital General Campus, Division of Cardiology, 501 Smyth Road, Ottawa, K1H 8L6","Specialty: Cardiology
Location: The Ottawa Hospital General Campus, Division of Cardiology, 501 Smyth Road, Ottawa, K1H 8L6
Phone: (613) 737-8582
Fax: (613) 739-6727
Languages: En",,(613) 737-8582,(613) 739-6727,,Cardiology;En,"The Ottawa Hospital General Campus, Division of Cardiology, 501 Smyth Road, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-e0273034349cf6d7
Dr. Hassan M Alfraidi,Specialists;Cardiology,"Cardiology · Postgraduate Medical Education, University of Ottawa, 451 Smyth Road Room 2044, Ottawa, K1H 8M5","Specialty: Cardiology
Location: Postgraduate Medical Education, University of Ottawa, 451 Smyth Road Room 2044, Ottawa, K1H 8M5
Languages: En",,,,,Cardiology;En,"Postgraduate Medical Education, University of Ottawa, 451 Smyth Road Room 2044, Ottawa, K1H 8M5",K1H,Sana,opc-specialist-c84ae0ba63dc0ebe
Dr. Hassan Mir,Specialists;Cardiology,"Cardiology · 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7406
Languages: En, Urdu, Hindi, Panjabi",,(613) 696-7406,,,"Cardiology;En, Urdu, Hindi, Panjabi","40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-e3d777a91f8c0433
Dr. Herschel Charles Rosenberg,Specialists;Cardiology;Pediatrics,"Cardiology · 60 Springhurst Ave, 306, Ottawa, K1S 5V7","Specialty: Cardiology
Location: 60 Springhurst Ave, 306, Ottawa, K1S 5V7
Phone: (519) 636-5236
Languages: En",,(519) 636-5236,,,Cardiology;En;Pediatrics,"60 Springhurst Ave, 306, Ottawa, K1S 5V7",K1S,Sana,opc-specialist-e25dd5675c9862fe
Dr. Howard Hao Lee,Specialists;Cardiology,"Cardiology · Ottawa Cardiovascular Centre, Suite 502, 1355 Bank Street, Ottawa, K1H 8K7","Specialty: Cardiology
Location: Ottawa Cardiovascular Centre, Suite 502, 1355 Bank Street, Ottawa, K1H 8K7
Phone: (613) 738-0088
Languages: En",,(613) 738-0088,,,Cardiology;En,"Ottawa Cardiovascular Centre, Suite 502, 1355 Bank Street, Ottawa, K1H 8K7",K1H,Sana,opc-specialist-6435a904157667c5
Dr. Ian Gordon Burwash,Specialists;Cardiology,"Cardiology · University of Ottawa Heart, Institute, 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: University of Ottawa Heart, Institute, 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7330
Fax: (613) 696-7246
Languages: En",,(613) 696-7330,(613) 696-7246,,Cardiology;En,"University of Ottawa Heart, Institute, 40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-652888861060451c
Dr. Joanne Nilusha Joseph,Specialists;Cardiology,"Cardiology · 40 Ruskin St, University of Ottawa Heart Institute, Division of Cardiology, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: 40 Ruskin St, University of Ottawa Heart Institute, Division of Cardiology, Ottawa, K1Y 4W7
Phone: (613) 696-7000
Languages: En",,(613) 696-7000,,,Cardiology;En,"40 Ruskin St, University of Ottawa Heart Institute, Division of Cardiology, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-338d064f0b2b214b
Dr. John Alden Dawdy,Specialists;Cardiology,"Cardiology · 1355 Bank Street, Suite 502, Ottawa, K1H 8K7","Specialty: Cardiology
Location: 1355 Bank Street, Suite 502, Ottawa, K1H 8K7
Phone: (613) 738-1584
Fax: (613) 738-9097
Languages: En",,(613) 738-1584,(613) 738-9097,,Cardiology;En,"1355 Bank Street, Suite 502, Ottawa, K1H 8K7",K1H,Sana,opc-specialist-4f4680701e315af2
Dr. John Csaba Fulop,Specialists;Cardiology,"Cardiology · Ottawa Cardiovascular Centre, 502, 1355 Bank Street, Ottawa, K1H 8K7","Specialty: Cardiology
Location: Ottawa Cardiovascular Centre, 502, 1355 Bank Street, Ottawa, K1H 8K7
Phone: (613) 738-1584
Fax: (613) 738-9097
Languages: En, Hungarian",,(613) 738-1584,(613) 738-9097,,"Cardiology;En, Hungarian","Ottawa Cardiovascular Centre, 502, 1355 Bank Street, Ottawa, K1H 8K7",K1H,Sana,opc-specialist-c900df0aa19faedb
Dr. Jordan Harron Hutson,Specialists;Cardiology;Critical Care Medicine,"Cardiology · 501 Smyth Road, Ottawa, K1H 8L6","Specialty: Cardiology
Location: 501 Smyth Road, Ottawa, K1H 8L6
Phone: (613) 737-8899
Fax: (613) 739-6727
Languages: En",,(613) 737-8899,(613) 739-6727,,Cardiology;En;Critical Care Medicine,"501 Smyth Road, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-cf290e7142629e04
Dr. Joseph Michel Robert Le May,Specialists;Cardiology,"Cardiology · Suite H-2247, 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: Suite H-2247, 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7297
Fax: (613) 696-7134
Languages: En, Fr",,(613) 696-7297,(613) 696-7134,,"Cardiology;En, Fr","Suite H-2247, 40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-af7ddf52b707ab48
Dr. Juan Roberto Salcedo,Specialists;Cardiology,"Cardiology · 356 Woodroffe Ave, Ottawa, K2A 3V6","Specialty: Cardiology
Location: 356 Woodroffe Ave, Ottawa, K2A 3V6
Phone: (613) 656-7443
Languages: En, Fr, Spanish",,(613) 656-7443,,,"Cardiology;En, Fr, Spanish","356 Woodroffe Ave, Ottawa, K2A 3V6",K2A,Sana,opc-specialist-6fd65175fbc8de86
Dr. Kevin Emery Boczar,Specialists;Cardiology,"Cardiology · University of Ottawa, Heart Institute, 40 Ruskin St, Ottawa, K1Y 4W7","Specialty: Cardiology
Location: University of Ottawa, Heart Institute, 40 Ruskin St, Ottawa, K1Y 4W7
Phone: (613) 696-7000
Languages: En",,(613) 696-7000,,,Cardiology;En,"University of Ottawa, Heart Institute, 40 Ruskin St, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-0fa485ce48759aa8
